questionId,frontendQuestionId,title,titleSlug,difficulty,acRate,isPaidOnly,topics,hasSolution,hasVideoSolution,url
37,37,Sudoku Solver,sudoku-solver,Hard,63.68,False,"Array, Hash Table, Backtracking, Matrix",True,False,https://leetcode.com/problems/sudoku-solver
38,38,Count and Say,count-and-say,Medium,58.07,False,String,True,False,https://leetcode.com/problems/count-and-say
39,39,Combination Sum,combination-sum,Medium,74.08,False,"Array, Backtracking",True,True,https://leetcode.com/problems/combination-sum
40,40,Combination Sum II,combination-sum-ii,Medium,57.31,False,"Array, Backtracking",True,False,https://leetcode.com/problems/combination-sum-ii
41,41,First Missing Positive,first-missing-positive,Hard,40.74,False,"Array, Hash Table",True,False,https://leetcode.com/problems/first-missing-positive
42,42,Trapping Rain Water,trapping-rain-water,Hard,64.45,False,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",True,False,https://leetcode.com/problems/trapping-rain-water
43,43,Multiply Strings,multiply-strings,Medium,41.94,False,"Math, String, Simulation",True,False,https://leetcode.com/problems/multiply-strings
44,44,Wildcard Matching,wildcard-matching,Hard,29.46,False,"String, Dynamic Programming, Greedy, Recursion",True,False,https://leetcode.com/problems/wildcard-matching
45,45,Jump Game II,jump-game-ii,Medium,41.2,False,"Array, Dynamic Programming, Greedy",True,False,https://leetcode.com/problems/jump-game-ii
46,46,Permutations,permutations,Medium,80.25,False,"Array, Backtracking",True,False,https://leetcode.com/problems/permutations
47,47,Permutations II,permutations-ii,Medium,61.13,False,"Array, Backtracking, Sorting",True,False,https://leetcode.com/problems/permutations-ii
48,48,Rotate Image,rotate-image,Medium,77.32,False,"Array, Math, Matrix",True,False,https://leetcode.com/problems/rotate-image
49,49,Group Anagrams,group-anagrams,Medium,70.48,False,"Array, Hash Table, String, Sorting",True,True,https://leetcode.com/problems/group-anagrams
50,50,"Pow(x, n)",powx-n,Medium,36.61,False,"Math, Recursion",True,False,https://leetcode.com/problems/powx-n
51,51,N-Queens,n-queens,Hard,71.9,False,"Array, Backtracking",True,False,https://leetcode.com/problems/n-queens
52,52,N-Queens II,n-queens-ii,Hard,76.18,False,Backtracking,True,False,https://leetcode.com/problems/n-queens-ii
53,53,Maximum Subarray,maximum-subarray,Medium,51.82,False,"Array, Divide and Conquer, Dynamic Programming",True,True,https://leetcode.com/problems/maximum-subarray
54,54,Spiral Matrix,spiral-matrix,Medium,53.16,False,"Array, Matrix, Simulation",True,False,https://leetcode.com/problems/spiral-matrix
55,55,Jump Game,jump-game,Medium,39.17,False,"Array, Dynamic Programming, Greedy",True,False,https://leetcode.com/problems/jump-game
56,56,Merge Intervals,merge-intervals,Medium,48.95,False,"Array, Sorting",True,True,https://leetcode.com/problems/merge-intervals
57,57,Insert Interval,insert-interval,Medium,43.05,False,Array,True,False,https://leetcode.com/problems/insert-interval
58,58,Length of Last Word,length-of-last-word,Easy,55.65,False,String,True,False,https://leetcode.com/problems/length-of-last-word
59,59,Spiral Matrix II,spiral-matrix-ii,Medium,73.05,False,"Array, Matrix, Simulation",True,False,https://leetcode.com/problems/spiral-matrix-ii
60,60,Permutation Sequence,permutation-sequence,Hard,49.31,False,"Math, Recursion",True,False,https://leetcode.com/problems/permutation-sequence
61,61,Rotate List,rotate-list,Medium,39.51,False,"Linked List, Two Pointers",True,False,https://leetcode.com/problems/rotate-list
62,62,Unique Paths,unique-paths,Medium,65.48,False,"Math, Dynamic Programming, Combinatorics",True,False,https://leetcode.com/problems/unique-paths
63,63,Unique Paths II,unique-paths-ii,Medium,42.84,False,"Array, Dynamic Programming, Matrix",True,False,https://leetcode.com/problems/unique-paths-ii
64,64,Minimum Path Sum,minimum-path-sum,Medium,65.98,False,"Array, Dynamic Programming, Matrix",True,False,https://leetcode.com/problems/minimum-path-sum
65,65,Valid Number,valid-number,Hard,21.21,False,String,True,False,https://leetcode.com/problems/valid-number
66,66,Plus One,plus-one,Easy,47.16,False,"Array, Math",True,False,https://leetcode.com/problems/plus-one
67,67,Add Binary,add-binary,Easy,55.3,False,"Math, String, Bit Manipulation, Simulation",True,False,https://leetcode.com/problems/add-binary
68,68,Text Justification,text-justification,Hard,47.35,False,"Array, String, Simulation",True,False,https://leetcode.com/problems/text-justification
69,69,Sqrt(x),sqrtx,Easy,40.1,False,"Math, Binary Search",True,True,https://leetcode.com/problems/sqrtx
70,70,Climbing Stairs,climbing-stairs,Easy,53.38,False,"Math, Dynamic Programming, Memoization",True,False,https://leetcode.com/problems/climbing-stairs
71,71,Simplify Path,simplify-path,Medium,46.88,False,"String, Stack",True,True,https://leetcode.com/problems/simplify-path
72,72,Edit Distance,edit-distance,Medium,58.3,False,"String, Dynamic Programming",True,False,https://leetcode.com/problems/edit-distance
73,73,Set Matrix Zeroes,set-matrix-zeroes,Medium,59.12,False,"Array, Hash Table, Matrix",True,False,https://leetcode.com/problems/set-matrix-zeroes
74,74,Search a 2D Matrix,search-a-2d-matrix,Medium,51.88,False,"Array, Binary Search, Matrix",True,False,https://leetcode.com/problems/search-a-2d-matrix
75,75,Sort Colors,sort-colors,Medium,66.53,False,"Array, Two Pointers, Sorting",True,False,https://leetcode.com/problems/sort-colors
76,76,Minimum Window Substring,minimum-window-substring,Hard,44.81,False,"Hash Table, String, Sliding Window",True,False,https://leetcode.com/problems/minimum-window-substring
77,77,Combinations,combinations,Medium,72.42,False,Backtracking,True,False,https://leetcode.com/problems/combinations
78,78,Subsets,subsets,Medium,80.38,False,"Array, Backtracking, Bit Manipulation",True,True,https://leetcode.com/problems/subsets
79,79,Word Search,word-search,Medium,44.75,False,"Array, String, Backtracking, Depth-First Search, Matrix",True,False,https://leetcode.com/problems/word-search
80,80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,62.36,False,"Array, Two Pointers",True,False,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
81,81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,38.64,False,"Array, Binary Search",True,False,https://leetcode.com/problems/search-in-rotated-sorted-array-ii
82,82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,49.38,False,"Linked List, Two Pointers",True,False,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,54.46,False,Linked List,True,True,https://leetcode.com/problems/remove-duplicates-from-sorted-list
84,84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,46.74,False,"Array, Stack, Monotonic Stack",True,True,https://leetcode.com/problems/largest-rectangle-in-histogram
85,85,Maximal Rectangle,maximal-rectangle,Hard,53.01,False,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",True,False,https://leetcode.com/problems/maximal-rectangle
86,86,Partition List,partition-list,Medium,58.45,False,"Linked List, Two Pointers",True,False,https://leetcode.com/problems/partition-list
87,87,Scramble String,scramble-string,Hard,41.75,False,"String, Dynamic Programming",True,False,https://leetcode.com/problems/scramble-string
88,88,Merge Sorted Array,merge-sorted-array,Easy,52.4,False,"Array, Two Pointers, Sorting",True,True,https://leetcode.com/problems/merge-sorted-array
89,89,Gray Code,gray-code,Medium,61.3,False,"Math, Backtracking, Bit Manipulation",True,False,https://leetcode.com/problems/gray-code
90,90,Subsets II,subsets-ii,Medium,59.02,False,"Array, Backtracking, Bit Manipulation",True,False,https://leetcode.com/problems/subsets-ii
91,91,Decode Ways,decode-ways,Medium,36.19,False,"String, Dynamic Programming",True,True,https://leetcode.com/problems/decode-ways
92,92,Reverse Linked List II,reverse-linked-list-ii,Medium,49.21,False,Linked List,True,True,https://leetcode.com/problems/reverse-linked-list-ii
93,93,Restore IP Addresses,restore-ip-addresses,Medium,52.51,False,"String, Backtracking",True,False,https://leetcode.com/problems/restore-ip-addresses
94,94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,78.13,False,"Stack, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-inorder-traversal
95,95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,59.88,False,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",True,False,https://leetcode.com/problems/unique-binary-search-trees-ii
96,96,Unique Binary Search Trees,unique-binary-search-trees,Medium,62.19,False,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",True,False,https://leetcode.com/problems/unique-binary-search-trees
97,97,Interleaving String,interleaving-string,Medium,41.48,False,"String, Dynamic Programming",True,False,https://leetcode.com/problems/interleaving-string
98,98,Validate Binary Search Tree,validate-binary-search-tree,Medium,34.06,False,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",True,True,https://leetcode.com/problems/validate-binary-search-tree
99,99,Recover Binary Search Tree,recover-binary-search-tree,Medium,55.61,False,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",True,False,https://leetcode.com/problems/recover-binary-search-tree
100,100,Same Tree,same-tree,Easy,64.58,False,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,True,https://leetcode.com/problems/same-tree
101,101,Symmetric Tree,symmetric-tree,Easy,58.78,False,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,True,https://leetcode.com/problems/symmetric-tree
102,102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,69.98,False,"Tree, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-level-order-traversal
103,103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,61.14,False,"Tree, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,76.84,False,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,True,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,66.27,False,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",True,False,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
106,106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,65.85,False,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",True,False,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
107,107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,65.5,False,"Tree, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
108,108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,73.66,False,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",True,True,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
109,109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,63.99,False,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",True,True,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
110,110,Balanced Binary Tree,balanced-binary-tree,Easy,54.76,False,"Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/balanced-binary-tree
111,111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,50.14,False,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/minimum-depth-of-binary-tree
112,112,Path Sum,path-sum,Easy,52.51,False,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/path-sum
113,113,Path Sum II,path-sum-ii,Medium,60.14,False,"Backtracking, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/path-sum-ii
114,114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,67.85,False,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,115,Distinct Subsequences,distinct-subsequences,Hard,49.57,False,"String, Dynamic Programming",True,False,https://leetcode.com/problems/distinct-subsequences
116,116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,64.98,False,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
117,117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,55.02,False,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",True,False,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
118,118,Pascal's Triangle,pascals-triangle,Easy,76.55,False,"Array, Dynamic Programming",True,True,https://leetcode.com/problems/pascals-triangle
119,119,Pascal's Triangle II,pascals-triangle-ii,Easy,65.59,False,"Array, Dynamic Programming",True,False,https://leetcode.com/problems/pascals-triangle-ii
120,120,Triangle,triangle,Medium,58.73,False,"Array, Dynamic Programming",True,False,https://leetcode.com/problems/triangle
121,121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,54.86,False,"Array, Dynamic Programming",True,True,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,68.99,False,"Array, Dynamic Programming, Greedy",True,True,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
123,123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,50.39,False,"Array, Dynamic Programming",True,False,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
124,124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,40.98,False,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-maximum-path-sum
125,125,Valid Palindrome,valid-palindrome,Easy,50.33,False,"Two Pointers, String",True,False,https://leetcode.com/problems/valid-palindrome
126,126,Word Ladder II,word-ladder-ii,Hard,27.12,False,"Hash Table, String, Backtracking, Breadth-First Search",True,False,https://leetcode.com/problems/word-ladder-ii
127,127,Word Ladder,word-ladder,Hard,42.05,False,"Hash Table, String, Breadth-First Search",True,True,https://leetcode.com/problems/word-ladder
128,128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.15,False,"Array, Hash Table, Union Find",True,False,https://leetcode.com/problems/longest-consecutive-sequence
129,129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,68.04,False,"Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/sum-root-to-leaf-numbers
130,130,Surrounded Regions,surrounded-regions,Medium,42.2,False,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",True,False,https://leetcode.com/problems/surrounded-regions
131,131,Palindrome Partitioning,palindrome-partitioning,Medium,71.52,False,"String, Dynamic Programming, Backtracking",True,False,https://leetcode.com/problems/palindrome-partitioning
132,132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,34.94,False,"String, Dynamic Programming",True,False,https://leetcode.com/problems/palindrome-partitioning-ii
133,133,Clone Graph,clone-graph,Medium,61.44,False,"Hash Table, Depth-First Search, Breadth-First Search, Graph",True,False,https://leetcode.com/problems/clone-graph
134,134,Gas Station,gas-station,Medium,46.04,False,"Array, Greedy",True,False,https://leetcode.com/problems/gas-station
135,135,Candy,candy,Hard,44.44,False,"Array, Greedy",True,False,https://leetcode.com/problems/candy
136,136,Single Number,single-number,Easy,75.48,False,"Array, Bit Manipulation",True,False,https://leetcode.com/problems/single-number
137,137,Single Number II,single-number-ii,Medium,64.8,False,"Array, Bit Manipulation",True,False,https://leetcode.com/problems/single-number-ii
138,138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,59.73,False,"Hash Table, Linked List",True,False,https://leetcode.com/problems/copy-list-with-random-pointer
139,139,Word Break,word-break,Medium,47.97,False,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",True,True,https://leetcode.com/problems/word-break
140,140,Word Break II,word-break-ii,Hard,53.09,False,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",True,False,https://leetcode.com/problems/word-break-ii
141,141,Linked List Cycle,linked-list-cycle,Easy,52.1,False,"Hash Table, Linked List, Two Pointers",True,True,https://leetcode.com/problems/linked-list-cycle
142,142,Linked List Cycle II,linked-list-cycle-ii,Medium,54.19,False,"Hash Table, Linked List, Two Pointers",True,False,https://leetcode.com/problems/linked-list-cycle-ii
143,143,Reorder List,reorder-list,Medium,61.77,False,"Linked List, Two Pointers, Stack, Recursion",True,False,https://leetcode.com/problems/reorder-list
144,144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,72.49,False,"Stack, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-preorder-traversal
145,145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,75.06,False,"Stack, Tree, Depth-First Search, Binary Tree",True,False,https://leetcode.com/problems/binary-tree-postorder-traversal
146,146,LRU Cache,lru-cache,Medium,44.61,False,"Hash Table, Linked List, Design, Doubly-Linked List",True,False,https://leetcode.com/problems/lru-cache
147,147,Insertion Sort List,insertion-sort-list,Medium,55.91,False,"Linked List, Sorting",True,True,https://leetcode.com/problems/insertion-sort-list
148,148,Sort List,sort-list,Medium,61.1,False,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",True,False,https://leetcode.com/problems/sort-list
149,149,Max Points on a Line,max-points-on-a-line,Hard,28.53,False,"Array, Hash Table, Math, Geometry",True,False,https://leetcode.com/problems/max-points-on-a-line
150,150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,54.24,False,"Array, Math, Stack",True,False,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,151,Reverse Words in a String,reverse-words-in-a-string,Medium,50.51,False,"Two Pointers, String",True,False,https://leetcode.com/problems/reverse-words-in-a-string
152,152,Maximum Product Subarray,maximum-product-subarray,Medium,34.61,False,"Array, Dynamic Programming",True,False,https://leetcode.com/problems/maximum-product-subarray
153,153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,52.26,False,"Array, Binary Search",True,False,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
154,154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,44.03,False,"Array, Binary Search",True,False,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
155,155,Min Stack,min-stack,Medium,56.03,False,"Stack, Design",True,False,https://leetcode.com/problems/min-stack
156,156,Binary Tree Upside Down,binary-tree-upside-down,Medium,64.21,True,"Tree, Depth-First Search, Binary Tree",False,False,https://leetcode.com/problems/binary-tree-upside-down
157,157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,42.11,True,"Array, Simulation, Interactive",True,False,https://leetcode.com/problems/read-n-characters-given-read4
158,158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.78,True,"Array, Simulation, Interactive",False,False,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
159,159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,56.14,True,"Hash Table, String, Sliding Window",True,True,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
160,160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,60.44,False,"Hash Table, Linked List, Two Pointers",True,True,https://leetcode.com/problems/intersection-of-two-linked-lists
161,161,One Edit Distance,one-edit-distance,Medium,34.45,True,"Two Pointers, String",True,False,https://leetcode.com/problems/one-edit-distance
162,162,Find Peak Element,find-peak-element,Medium,46.38,False,"Array, Binary Search",True,True,https://leetcode.com/problems/find-peak-element
163,163,Missing Ranges,missing-ranges,Easy,35.04,True,Array,True,False,https://leetcode.com/problems/missing-ranges
164,164,Maximum Gap,maximum-gap,Medium,48.74,False,"Array, Sorting, Bucket Sort, Radix Sort",True,False,https://leetcode.com/problems/maximum-gap
165,165,Compare Version Numbers,compare-version-numbers,Medium,42.03,False,"Two Pointers, String",True,False,https://leetcode.com/problems/compare-version-numbers
166,166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,25.96,False,"Hash Table, Math, String",True,False,https://leetcode.com/problems/fraction-to-recurring-decimal
167,167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,62.99,False,"Array, Two Pointers, Binary Search",True,False,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
168,168,Excel Sheet Column Title,excel-sheet-column-title,Easy,42.99,False,"Math, String",True,False,https://leetcode.com/problems/excel-sheet-column-title
169,169,Majority Element,majority-element,Easy,65.54,False,"Array, Hash Table, Divide and Conquer, Sorting, Counting",True,False,https://leetcode.com/problems/majority-element
170,170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.58,True,"Array, Hash Table, Two Pointers, Design, Data Stream",True,False,https://leetcode.com/problems/two-sum-iii-data-structure-design
171,171,Excel Sheet Column Number,excel-sheet-column-number,Easy,65.4,False,"Math, String",True,False,https://leetcode.com/problems/excel-sheet-column-number
172,172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,44.53,False,Math,True,False,https://leetcode.com/problems/factorial-trailing-zeroes
173,173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,74.4,False,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",True,False,https://leetcode.com/problems/binary-search-tree-iterator
174,174,Dungeon Game,dungeon-game,Hard,39.19,False,"Array, Dynamic Programming, Matrix",True,False,https://leetcode.com/problems/dungeon-game
175,175,Combine Two Tables,combine-two-tables,Easy,77.68,False,Database,True,False,https://leetcode.com/problems/combine-two-tables
176,176,Second Highest Salary,second-highest-salary,Medium,43.14,False,Database,True,False,https://leetcode.com/problems/second-highest-salary
177,177,Nth Highest Salary,nth-highest-salary,Medium,37.89,False,Database,True,False,https://leetcode.com/problems/nth-highest-salary
178,178,Rank Scores,rank-scores,Medium,64.69,False,Database,True,False,https://leetcode.com/problems/rank-scores
179,179,Largest Number,largest-number,Medium,40.94,False,"Array, String, Greedy, Sorting",True,False,https://leetcode.com/problems/largest-number
180,180,Consecutive Numbers,consecutive-numbers,Medium,45.54,False,Database,True,False,https://leetcode.com/problems/consecutive-numbers
181,181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,71.14,False,Database,True,False,https://leetcode.com/problems/employees-earning-more-than-their-managers
